INSTANCE,HH_KNNHH_1
random_100_25_25.vcp,5
random_100_25_50.vcp,7
random_100_50_25.vcp,9
random_100_50_50.vcp,15
random_100_75_25.vcp,11
random_100_75_50.vcp,20
random_10_25_25.vcp,6
random_10_25_50.vcp,8
random_10_50_25.vcp,9
random_10_50_50.vcp,14
random_10_75_25.vcp,10
random_10_75_50.vcp,18
random_11_25_25.vcp,6
random_11_25_50.vcp,8
random_11_50_25.vcp,8
random_11_50_50.vcp,14
random_11_75_25.vcp,12
random_11_75_50.vcp,18
random_12_25_25.vcp,6
random_12_25_50.vcp,8
random_12_50_25.vcp,9
random_12_50_50.vcp,13
random_12_75_25.vcp,11
random_12_75_50.vcp,21
random_13_25_25.vcp,7
random_13_25_50.vcp,8
random_13_50_25.vcp,9
random_13_50_50.vcp,13
random_13_75_25.vcp,13
random_13_75_50.vcp,19
random_14_25_25.vcp,5
random_14_25_50.vcp,9
random_14_50_25.vcp,9
random_14_50_50.vcp,15
random_14_75_25.vcp,10
random_14_75_50.vcp,19
random_15_25_25.vcp,5
random_15_25_50.vcp,9
random_15_50_25.vcp,9
random_15_50_50.vcp,14
random_15_75_25.vcp,11
random_15_75_50.vcp,18
random_16_25_25.vcp,5
random_16_25_50.vcp,9
random_16_50_25.vcp,9
random_16_50_50.vcp,14
random_16_75_25.vcp,12
random_16_75_50.vcp,19
random_17_25_25.vcp,5
random_17_25_50.vcp,9
random_17_50_25.vcp,8
random_17_50_50.vcp,14
random_17_75_25.vcp,11
random_17_75_50.vcp,19
random_18_25_25.vcp,6
random_18_25_50.vcp,9
random_18_50_25.vcp,9
random_18_50_50.vcp,12
random_18_75_25.vcp,12
random_18_75_50.vcp,19
random_19_25_25.vcp,6
random_19_25_50.vcp,9
random_19_50_25.vcp,9
random_19_50_50.vcp,11
random_19_75_25.vcp,11
random_19_75_50.vcp,20
random_1_25_25.vcp,6
random_1_25_50.vcp,8
random_1_50_25.vcp,9
random_1_50_50.vcp,13
random_1_75_25.vcp,11
random_1_75_50.vcp,19
random_20_25_25.vcp,6
random_20_25_50.vcp,8
random_20_50_25.vcp,8
random_20_50_50.vcp,15
random_20_75_25.vcp,12
random_20_75_50.vcp,18
random_21_25_25.vcp,6
random_21_25_50.vcp,8
random_21_50_25.vcp,8
random_21_50_50.vcp,14
random_21_75_25.vcp,11
random_21_75_50.vcp,21
random_22_25_25.vcp,6
random_22_25_50.vcp,8
random_22_50_25.vcp,7
random_22_50_50.vcp,13
random_22_75_25.vcp,11
random_22_75_50.vcp,20
random_23_25_25.vcp,6
random_23_25_50.vcp,8
random_23_50_25.vcp,8
random_23_50_50.vcp,13
random_23_75_25.vcp,11
random_23_75_50.vcp,21
random_24_25_25.vcp,5
random_24_25_50.vcp,9
random_24_50_25.vcp,8
random_24_50_50.vcp,14
random_24_75_25.vcp,11
random_24_75_50.vcp,19
random_25_25_25.vcp,6
random_25_25_50.vcp,9
random_25_50_25.vcp,8
random_25_50_50.vcp,12
random_25_75_25.vcp,12
random_25_75_50.vcp,18
random_26_25_25.vcp,6
random_26_25_50.vcp,9
random_26_50_25.vcp,9
random_26_50_50.vcp,12
random_26_75_25.vcp,11
random_26_75_50.vcp,20
random_27_25_25.vcp,6
random_27_25_50.vcp,9
random_27_50_25.vcp,9
random_27_50_50.vcp,13
random_27_75_25.vcp,12
random_27_75_50.vcp,19
random_28_25_25.vcp,7
random_28_25_50.vcp,8
random_28_50_25.vcp,10
random_28_50_50.vcp,13
random_28_75_25.vcp,12
random_28_75_50.vcp,19
random_29_25_25.vcp,6
random_29_25_50.vcp,9
random_29_50_25.vcp,8
random_29_50_50.vcp,12
random_29_75_25.vcp,12
random_29_75_50.vcp,17
random_2_25_25.vcp,5
random_2_25_50.vcp,7
random_2_50_25.vcp,10
random_2_50_50.vcp,12
random_2_75_25.vcp,12
random_2_75_50.vcp,19
random_30_25_25.vcp,6
random_30_25_50.vcp,8
random_30_50_25.vcp,9
random_30_50_50.vcp,13
random_30_75_25.vcp,11
random_30_75_50.vcp,19
random_31_25_25.vcp,6
random_31_25_50.vcp,7
random_31_50_25.vcp,8
random_31_50_50.vcp,13
random_31_75_25.vcp,12
random_31_75_50.vcp,20
random_32_25_25.vcp,6
random_32_25_50.vcp,8
random_32_50_25.vcp,10
random_32_50_50.vcp,13
random_32_75_25.vcp,12
random_32_75_50.vcp,21
random_33_25_25.vcp,5
random_33_25_50.vcp,9
random_33_50_25.vcp,8
random_33_50_50.vcp,12
random_33_75_25.vcp,11
random_33_75_50.vcp,19
random_34_25_25.vcp,6
random_34_25_50.vcp,8
random_34_50_25.vcp,7
random_34_50_50.vcp,13
random_34_75_25.vcp,12
random_34_75_50.vcp,21
random_35_25_25.vcp,5
random_35_25_50.vcp,7
random_35_50_25.vcp,7
random_35_50_50.vcp,13
random_35_75_25.vcp,10
random_35_75_50.vcp,21
random_36_25_25.vcp,6
random_36_25_50.vcp,9
random_36_50_25.vcp,7
random_36_50_50.vcp,15
random_36_75_25.vcp,12
random_36_75_50.vcp,19
random_37_25_25.vcp,6
random_37_25_50.vcp,9
random_37_50_25.vcp,8
random_37_50_50.vcp,12
random_37_75_25.vcp,12
random_37_75_50.vcp,21
random_38_25_25.vcp,7
random_38_25_50.vcp,8
random_38_50_25.vcp,10
random_38_50_50.vcp,15
random_38_75_25.vcp,13
random_38_75_50.vcp,19
random_39_25_25.vcp,6
random_39_25_50.vcp,8
random_39_50_25.vcp,9
random_39_50_50.vcp,14
random_39_75_25.vcp,11
random_39_75_50.vcp,20
random_3_25_25.vcp,6
random_3_25_50.vcp,8
random_3_50_25.vcp,9
random_3_50_50.vcp,12
random_3_75_25.vcp,12
random_3_75_50.vcp,19
random_40_25_25.vcp,5
random_40_25_50.vcp,8
random_40_50_25.vcp,9
random_40_50_50.vcp,12
random_40_75_25.vcp,10
random_40_75_50.vcp,18
random_41_25_25.vcp,6
random_41_25_50.vcp,8
random_41_50_25.vcp,9
random_41_50_50.vcp,12
random_41_75_25.vcp,11
random_41_75_50.vcp,17
random_42_25_25.vcp,6
random_42_25_50.vcp,8
random_42_50_25.vcp,10
random_42_50_50.vcp,14
random_42_75_25.vcp,12
random_42_75_50.vcp,19
random_43_25_25.vcp,6
random_43_25_50.vcp,9
random_43_50_25.vcp,10
random_43_50_50.vcp,12
random_43_75_25.vcp,11
random_43_75_50.vcp,21
random_44_25_25.vcp,7
random_44_25_50.vcp,8
random_44_50_25.vcp,7
random_44_50_50.vcp,13
random_44_75_25.vcp,12
random_44_75_50.vcp,19
random_45_25_25.vcp,5
random_45_25_50.vcp,8
random_45_50_25.vcp,9
random_45_50_50.vcp,13
random_45_75_25.vcp,11
random_45_75_50.vcp,19
random_46_25_25.vcp,5
random_46_25_50.vcp,8
random_46_50_25.vcp,7
random_46_50_50.vcp,15
random_46_75_25.vcp,11
random_46_75_50.vcp,20
random_47_25_25.vcp,5
random_47_25_50.vcp,8
random_47_50_25.vcp,8
random_47_50_50.vcp,12
random_47_75_25.vcp,13
random_47_75_50.vcp,20
random_48_25_25.vcp,5
random_48_25_50.vcp,8
random_48_50_25.vcp,9
random_48_50_50.vcp,14
random_48_75_25.vcp,14
random_48_75_50.vcp,21
random_49_25_25.vcp,6
random_49_25_50.vcp,8
random_49_50_25.vcp,8
random_49_50_50.vcp,13
random_49_75_25.vcp,12
random_49_75_50.vcp,18
random_4_25_25.vcp,6
random_4_25_50.vcp,7
random_4_50_25.vcp,9
random_4_50_50.vcp,13
random_4_75_25.vcp,11
random_4_75_50.vcp,19
random_50_25_25.vcp,5
random_50_25_50.vcp,8
random_50_50_25.vcp,7
random_50_50_50.vcp,14
random_50_75_25.vcp,12
random_50_75_50.vcp,18
random_51_25_25.vcp,6
random_51_25_50.vcp,8
random_51_50_25.vcp,9
random_51_50_50.vcp,13
random_51_75_25.vcp,12
random_51_75_50.vcp,19
random_52_25_25.vcp,6
random_52_25_50.vcp,9
random_52_50_25.vcp,9
random_52_50_50.vcp,13
random_52_75_25.vcp,12
random_52_75_50.vcp,17
random_53_25_25.vcp,7
random_53_25_50.vcp,9
random_53_50_25.vcp,8
random_53_50_50.vcp,13
random_53_75_25.vcp,13
random_53_75_50.vcp,18
random_54_25_25.vcp,6
random_54_25_50.vcp,8
random_54_50_25.vcp,8
random_54_50_50.vcp,13
random_54_75_25.vcp,11
random_54_75_50.vcp,19
random_55_25_25.vcp,7
random_55_25_50.vcp,8
random_55_50_25.vcp,9
random_55_50_50.vcp,13
random_55_75_25.vcp,13
random_55_75_50.vcp,19
random_56_25_25.vcp,5
random_56_25_50.vcp,8
random_56_50_25.vcp,9
random_56_50_50.vcp,12
random_56_75_25.vcp,10
random_56_75_50.vcp,20
random_57_25_25.vcp,7
random_57_25_50.vcp,9
random_57_50_25.vcp,9
random_57_50_50.vcp,13
random_57_75_25.vcp,12
random_57_75_50.vcp,21
random_58_25_25.vcp,6
random_58_25_50.vcp,7
random_58_50_25.vcp,8
random_58_50_50.vcp,13
random_58_75_25.vcp,11
random_58_75_50.vcp,19
random_59_25_25.vcp,5
random_59_25_50.vcp,9
random_59_50_25.vcp,8
random_59_50_50.vcp,13
random_59_75_25.vcp,11
random_59_75_50.vcp,21
random_5_25_25.vcp,6
random_5_25_50.vcp,9
random_5_50_25.vcp,8
random_5_50_50.vcp,14
random_5_75_25.vcp,11
random_5_75_50.vcp,21
random_60_25_25.vcp,5
random_60_25_50.vcp,8
random_60_50_25.vcp,9
random_60_50_50.vcp,13
random_60_75_25.vcp,11
random_60_75_50.vcp,18
random_61_25_25.vcp,5
random_61_25_50.vcp,8
random_61_50_25.vcp,8
random_61_50_50.vcp,12
random_61_75_25.vcp,12
random_61_75_50.vcp,19
random_62_25_25.vcp,6
random_62_25_50.vcp,9
random_62_50_25.vcp,8
random_62_50_50.vcp,14
random_62_75_25.vcp,11
random_62_75_50.vcp,21
random_63_25_25.vcp,6
random_63_25_50.vcp,8
random_63_50_25.vcp,8
random_63_50_50.vcp,12
random_63_75_25.vcp,10
random_63_75_50.vcp,20
random_64_25_25.vcp,6
random_64_25_50.vcp,9
random_64_50_25.vcp,8
random_64_50_50.vcp,13
random_64_75_25.vcp,10
random_64_75_50.vcp,19
random_65_25_25.vcp,5
random_65_25_50.vcp,9
random_65_50_25.vcp,8
random_65_50_50.vcp,13
random_65_75_25.vcp,12
random_65_75_50.vcp,19
random_66_25_25.vcp,5
random_66_25_50.vcp,9
random_66_50_25.vcp,9
random_66_50_50.vcp,13
random_66_75_25.vcp,13
random_66_75_50.vcp,21
random_67_25_25.vcp,7
random_67_25_50.vcp,8
random_67_50_25.vcp,9
random_67_50_50.vcp,14
random_67_75_25.vcp,12
random_67_75_50.vcp,21
random_68_25_25.vcp,5
random_68_25_50.vcp,9
random_68_50_25.vcp,8
random_68_50_50.vcp,13
random_68_75_25.vcp,11
random_68_75_50.vcp,20
random_69_25_25.vcp,6
random_69_25_50.vcp,8
random_69_50_25.vcp,9
random_69_50_50.vcp,14
random_69_75_25.vcp,12
random_69_75_50.vcp,19
random_6_25_25.vcp,6
random_6_25_50.vcp,9
random_6_50_25.vcp,9
random_6_50_50.vcp,14
random_6_75_25.vcp,12
random_6_75_50.vcp,20
random_70_25_25.vcp,7
random_70_25_50.vcp,9
random_70_50_25.vcp,8
random_70_50_50.vcp,14
random_70_75_25.vcp,11
random_70_75_50.vcp,19
random_71_25_25.vcp,7
random_71_25_50.vcp,9
random_71_50_25.vcp,9
random_71_50_50.vcp,13
random_71_75_25.vcp,11
random_71_75_50.vcp,19
random_72_25_25.vcp,5
random_72_25_50.vcp,7
random_72_50_25.vcp,9
random_72_50_50.vcp,13
random_72_75_25.vcp,11
random_72_75_50.vcp,19
random_73_25_25.vcp,6
random_73_25_50.vcp,9
random_73_50_25.vcp,8
random_73_50_50.vcp,13
random_73_75_25.vcp,12
random_73_75_50.vcp,20
random_74_25_25.vcp,7
random_74_25_50.vcp,8
random_74_50_25.vcp,8
random_74_50_50.vcp,14
random_74_75_25.vcp,11
random_74_75_50.vcp,19
random_75_25_25.vcp,5
random_75_25_50.vcp,8
random_75_50_25.vcp,8
random_75_50_50.vcp,14
random_75_75_25.vcp,11
random_75_75_50.vcp,18
random_76_25_25.vcp,6
random_76_25_50.vcp,8
random_76_50_25.vcp,8
random_76_50_50.vcp,13
random_76_75_25.vcp,11
random_76_75_50.vcp,17
random_77_25_25.vcp,6
random_77_25_50.vcp,8
random_77_50_25.vcp,8
random_77_50_50.vcp,12
random_77_75_25.vcp,12
random_77_75_50.vcp,19
random_78_25_25.vcp,6
random_78_25_50.vcp,8
random_78_50_25.vcp,8
random_78_50_50.vcp,13
random_78_75_25.vcp,12
random_78_75_50.vcp,21
random_79_25_25.vcp,6
random_79_25_50.vcp,8
random_79_50_25.vcp,8
random_79_50_50.vcp,13
random_79_75_25.vcp,12
random_79_75_50.vcp,19
random_7_25_25.vcp,7
random_7_25_50.vcp,8
random_7_50_25.vcp,9
random_7_50_50.vcp,13
random_7_75_25.vcp,12
random_7_75_50.vcp,19
random_80_25_25.vcp,6
random_80_25_50.vcp,8
random_80_50_25.vcp,10
random_80_50_50.vcp,12
random_80_75_25.vcp,12
random_80_75_50.vcp,20
random_81_25_25.vcp,5
random_81_25_50.vcp,9
random_81_50_25.vcp,8
random_81_50_50.vcp,12
random_81_75_25.vcp,10
random_81_75_50.vcp,18
random_82_25_25.vcp,5
random_82_25_50.vcp,8
random_82_50_25.vcp,9
random_82_50_50.vcp,13
random_82_75_25.vcp,13
random_82_75_50.vcp,18
random_83_25_25.vcp,6
random_83_25_50.vcp,9
random_83_50_25.vcp,8
random_83_50_50.vcp,13
random_83_75_25.vcp,11
random_83_75_50.vcp,18
random_84_25_25.vcp,6
random_84_25_50.vcp,7
random_84_50_25.vcp,8
random_84_50_50.vcp,13
random_84_75_25.vcp,11
random_84_75_50.vcp,18
random_85_25_25.vcp,7
random_85_25_50.vcp,8
random_85_50_25.vcp,9
random_85_50_50.vcp,12
random_85_75_25.vcp,11
random_85_75_50.vcp,20
random_86_25_25.vcp,5
random_86_25_50.vcp,8
random_86_50_25.vcp,10
random_86_50_50.vcp,13
random_86_75_25.vcp,12
random_86_75_50.vcp,18
random_87_25_25.vcp,6
random_87_25_50.vcp,8
random_87_50_25.vcp,9
random_87_50_50.vcp,14
random_87_75_25.vcp,12
random_87_75_50.vcp,18
random_88_25_25.vcp,6
random_88_25_50.vcp,9
random_88_50_25.vcp,8
random_88_50_50.vcp,13
random_88_75_25.vcp,11
random_88_75_50.vcp,19
random_89_25_25.vcp,6
random_89_25_50.vcp,8
random_89_50_25.vcp,8
random_89_50_50.vcp,12
random_89_75_25.vcp,12
random_89_75_50.vcp,19
random_8_25_25.vcp,6
random_8_25_50.vcp,9
random_8_50_25.vcp,8
random_8_50_50.vcp,14
random_8_75_25.vcp,12
random_8_75_50.vcp,18
random_90_25_25.vcp,6
random_90_25_50.vcp,9
random_90_50_25.vcp,8
random_90_50_50.vcp,14
random_90_75_25.vcp,11
random_90_75_50.vcp,18
random_91_25_25.vcp,7
random_91_25_50.vcp,8
random_91_50_25.vcp,9
random_91_50_50.vcp,13
random_91_75_25.vcp,12
random_91_75_50.vcp,19
random_92_25_25.vcp,5
random_92_25_50.vcp,8
random_92_50_25.vcp,9
random_92_50_50.vcp,13
random_92_75_25.vcp,12
random_92_75_50.vcp,23
random_93_25_25.vcp,6
random_93_25_50.vcp,9
random_93_50_25.vcp,9
random_93_50_50.vcp,13
random_93_75_25.vcp,11
random_93_75_50.vcp,19
random_94_25_25.vcp,7
random_94_25_50.vcp,9
random_94_50_25.vcp,8
random_94_50_50.vcp,12
random_94_75_25.vcp,13
random_94_75_50.vcp,18
random_95_25_25.vcp,6
random_95_25_50.vcp,8
random_95_50_25.vcp,10
random_95_50_50.vcp,12
random_95_75_25.vcp,12
random_95_75_50.vcp,18
random_96_25_25.vcp,6
random_96_25_50.vcp,8
random_96_50_25.vcp,8
random_96_50_50.vcp,14
random_96_75_25.vcp,13
random_96_75_50.vcp,20
random_97_25_25.vcp,5
random_97_25_50.vcp,9
random_97_50_25.vcp,9
random_97_50_50.vcp,13
random_97_75_25.vcp,12
random_97_75_50.vcp,20
random_98_25_25.vcp,5
random_98_25_50.vcp,8
random_98_50_25.vcp,9
random_98_50_50.vcp,12
random_98_75_25.vcp,11
random_98_75_50.vcp,19
random_99_25_25.vcp,5
random_99_25_50.vcp,7
random_99_50_25.vcp,9
random_99_50_50.vcp,13
random_99_75_25.vcp,12
random_99_75_50.vcp,17
random_9_25_25.vcp,6
random_9_25_50.vcp,10
random_9_50_25.vcp,9
random_9_50_50.vcp,12
random_9_75_25.vcp,11
random_9_75_50.vcp,20
